"Client"	"RegistrationDt"	"Age"	"Gender"	"MaritalStatus"	"HasChildren"	"NumChildren"	"PostalCode"	"Zone"	"City"
"47"	"101255829"	"2008-11-17 00:00:00.000"	43	"M"	"M"	"Y"	2	"4580-311"	"PORTO"	"CETE"
"48"	"101270801"	"2008-01-01 00:00:00.000"	57	"F"	"M"	"N"	1	"4250-283"	"PORTO"	"PORTO"
"49"	"101291906"	"2010-12-10 00:00:00.000"	71	"M"	""	"N"	0	"4200-209"	"PORTO"	"PORTO"
"50"	"101360436"	"2014-07-03 00:00:00.000"	60	"M"	""	"N"	0	"4460-210"	"PORTO"	"SENHORA DA HORA"
"51"	"101360533"	"2010-05-13 00:00:00.000"	62	"F"	"S"	"N"	0	"4200-024"	"PORTO"	"PORTO"
"52"	"101360681"	"2009-01-08 00:00:00.000"	62	"F"	"S"	"N"	0	"4475-339"	"PORTO"	"MAIA"
"53"	"101361050"	"2009-04-24 00:00:00.000"	65	"F"	"M"	"N"	1	"4470-316"	"PORTO"	"MAIA"
"54"	"101487622"	"2011-05-22 00:00:00.000"	72	"F"	""	"N"	0	"4510-585"	"PORTO"	"FÂNZERES"
"55"	"101545320"	"2009-10-23 00:00:00.000"	61	"M"	"M"	"N"	0	"4430-444"	"PORTO"	"V.N.GAIA"
"56"	"101588020"	"2008-08-05 00:00:00.000"	53	"F"	"M"	"Y"	2	"4450-289"	"PORTO"	"MATOSINHOS"
"57"	"101639422"	"2013-01-31 00:00:00.000"	66	"F"	"S"	"Y"	1	"5070-013"	"OUTROS"	"ALIJÓ"
"58"	"101701098"	"2009-05-20 00:00:00.000"	44	"M"	""	"N"	0	"4050-042"	"PORTO"	"PORTO"
"59"	"101709650"	"2008-09-25 00:00:00.000"	56	"M"	"S"	"N"	0	"4150-530"	"PORTO"	"PORTO"
"60"	"101709757"	"2008-11-17 00:00:00.000"	54	"F"	""	"Y"	1	"4430-161"	"PORTO"	"V.N.GAIA"
"61"	"101717768"	"2008-10-02 00:00:00.000"	59	"M"	"M"	"Y"	1	"4430-288"	"PORTO"	"V.N.GAIA"
"62"	"101753071"	"2008-01-01 00:00:00.000"	75	"F"	"M"	"Y"	4	"4250-015"	"PORTO"	"PORTO"
"63"	"10176792"	"2009-03-10 00:00:00.000"	41	"F"	"S"	"N"	0	"4445-566"	"PORTO"	"ERMESINDE"
"64"	"101853700"	"2008-12-09 00:00:00.000"	73	"M"	"S"	"Y"	1	"4350-306"	"PORTO"	"PORTO"
"65"	"101874928"	"2009-04-06 00:00:00.000"	83	"M"	"M"	"Y"	4	"4400-183"	"PORTO"	"V.N.GAIA"
"66"	"101875703"	"2009-05-04 00:00:00.000"	40	"F"	"S"	"Y"	2	"4000-306"	"PORTO"	"PORTO"
"67"	"101904770"	"2013-01-31 00:00:00.000"	53	"F"	""	"N"	0	"4405-635"	"PORTO"	"V.N.GAIA"
